player_id,player_name,team,position,goals,expected_goals,successful_dribbles
P00001,Kylian Griezmann,France,Goalkeeper,0,0,0
P00002,Antoine Tchouameni,France,Goalkeeper,0,0,0
P00003,Ousmane Hernandez,France,Goalkeeper,0,0,1
P00004,Kylian Camavinga,France,Defender,0,0.001764706,0
P00005,Antoine Kounde,France,Defender,0,0.005294118,0
P00006,Ousmane Upamecano,France,Defender,0,0.015294118,2
P00007,Aurelien Rabiot,France,Defender,1,0.000294118,2
P00008,Eduardo Sissoko,France,Defender,0,0.006470588,1
P00009,Theo Varane,France,Defender,0,0.000294118,0
P00010,Lucas Pavard,France,Defender,3,0,1
P00011,Randal Diarra,France,Defender,0,0.001470588,1
P00012,Olivier Badiashile,France,Defender,1,0.000294118,1
P00013,Kylian Maignan,France,Midfielder,2,0.006176471,1
P00014,Antoine Saliba,France,Midfielder,0,0.018823529,5
P00015,Ousmane Konate,France,Midfielder,1,0.003823529,2
P00016,Aurelien Thuram,France,Midfielder,0,0.010882353,6
P00017,Eduardo Olise,France,Midfielder,2,0.013823529,7
P00018,Theo Mukiele,France,Midfielder,2,0.020588235,18
P00019,Lucas Todibo,France,Midfielder,2,0.002647059,8
P00020,Randal Griezmann,France,Midfielder,1,0.001764706,9
P00021,Kylian Olise,France,Forward,5,0.023529412,11
P00022,Antoine Mukiele,France,Forward,2,0.027352941,3
P00023,Ousmane Todibo,France,Forward,6,0.110294118,20
P00024,Aurelien Griezmann,France,Forward,3,0.04,10
P00025,Eduardo Tchouameni,France,Forward,4,0.022941176,7
P00026,Theo Hernandez,France,Forward,0,0.052647059,8
P00027,Joshua Musiala,Germany,Goalkeeper,0,0,0
P00028,Jamal Havertz,Germany,Goalkeeper,0,0,0
P00029,Leroy Schlotterbeck,Germany,Goalkeeper,0,0,0
P00030,Joshua Rudiger,Germany,Defender,1,0.000882353,1
P00031,Jamal Goretzka,Germany,Defender,0,0.003823529,0
P00032,Leroy Werner,Germany,Defender,1,0.001176471,1
P00033,Kai Neuer,Germany,Defender,2,0.001176471,2
